data,Passageiros
2000 Jan,3473853
2000 Feb,3020062
2000 Mar,3280445
2000 Apr,3215057
2000 May,3064093
2000 Jun,3047056
2000 Jul,3649589
2000 Aug,3246603
2000 Sep,3072173
2000 Oct,3247647
2000 Nov,3066373
2000 Dec,3265427
2001 Jan,3523654
2001 Feb,2989353
2001 Mar,3309413
2001 Apr,3187570
2001 May,3127514
2001 Jun,3228275
2001 Jul,3952432
2001 Aug,3606479
2001 Sep,3226106
2001 Oct,3349302
2001 Nov,3128084
2001 Dec,3356167
2002 Jan,3703092
2002 Feb,3068745
2002 Mar,3323982
2002 Apr,3281903
2002 May,3468876
2002 Jun,3372392
2002 Jul,3891616
2002 Aug,3389297
2002 Sep,3121171
2002 Oct,3083576
2002 Nov,3029188
2002 Dec,3149749
2003 Jan,3249427
2003 Feb,2866180
2003 Mar,3121344
2003 Apr,3156886
2003 May,2916065
2003 Jun,2918298
2003 Jul,3505084
2003 Aug,3273885
2003 Sep,3118039
2003 Oct,3332146
2003 Nov,3234265
2003 Dec,3365294
2004 Jan,3556452
2004 Feb,3152543
2004 Mar,3310391
2004 Apr,3311186
2004 May,3374366
2004 Jun,3326587
2004 Jul,3966924
2004 Aug,3594353
2004 Sep,3455183
2004 Oct,3692884
2004 Nov,3579480
2004 Dec,3732923
2005 Jan,4153504
2005 Feb,3532380
2005 Mar,4018931
2005 Apr,3870685
2005 May,3995549
2005 Jun,3906138
2005 Jul,4864777
2005 Aug,4286563
2005 Sep,4366480
2005 Oct,4563202
2005 Nov,4183349
2005 Dec,4548837
2006 Jan,4941574
2006 Feb,4115706
2006 Mar,4578919
2006 Apr,4464292
2006 May,4582229
2006 Jun,4439977
2006 Jul,4838268
2006 Aug,4571427
2006 Sep,4486074
2006 Oct,4716742
2006 Nov,4390955
2006 Dec,4796089
2007 Jan,5306306
2007 Feb,4527947
2007 Mar,4948134
2007 Apr,5142627
2007 May,5094967
2007 Jun,4972317
2007 Jul,5301269
2007 Aug,4560964
2007 Sep,4765231
2007 Oct,5355466
2007 Nov,5159833
2007 Dec,5524124
2008 Jan,5786358
2008 Feb,5058727
2008 Mar,5397993
2008 Apr,5412160
2008 May,5770608
2008 Jun,5393512
2008 Jul,5756514
2008 Aug,5279687
2008 Sep,5052693
2008 Oct,5136905
2008 Nov,5041511
2008 Dec,5581090
2009 Jan,6002319
2009 Feb,4817524
2009 Mar,5305098
2009 Apr,5408123
2009 May,5364763
2009 Jun,5557091
2009 Jul,6511036
2009 Aug,5799213
2009 Sep,6067963
2009 Oct,6809180
2009 Nov,6402317
2009 Dec,7073707
2010 Jan,7537442
2010 Feb,6364566
2010 Mar,6858925
2010 Apr,6561632
2010 May,6568219
2010 Jun,6712358
2010 Jul,7793836
2010 Aug,7565560
2010 Sep,7583786
2010 Oct,7846397
2010 Nov,7504599
2010 Dec,8148369
2011 Jan,8894294
2011 Feb,7212406
2011 Mar,8326063
2011 Apr,8365816
2011 May,8148295
2011 Jun,7824997
2011 Jul,9493472
2011 Aug,8732644
2011 Sep,8610608
2011 Oct,8673932
2011 Nov,8417336
2011 Dec,9083137
2012 Jan,9812860
2012 Feb,8258945
2012 Mar,8709111
2012 Apr,8963323
2012 May,8700389
2012 Jun,8663658
2012 Jul,10263963
2012 Aug,9335054
2012 Sep,9210076
2012 Oct,9305112
2012 Nov,9005763
2012 Dec,9381864
2013 Jan,9947946
2013 Feb,8060945
2013 Mar,8878713
2013 Apr,8769832
2013 May,9048685
2013 Jun,8859733
2013 Jul,10162997
2013 Aug,9294154
2013 Sep,9275219
2013 Oct,9819726
2013 Nov,9591069
2013 Dec,10294062
2014 Jan,10788580
2014 Feb,8977411
2014 Mar,9449368
2014 Apr,9520448
2014 May,9602983
2014 Jun,9223551
2014 Jul,10456525
2014 Aug,10096358
2014 Sep,9768311
2014 Oct,10469258
2014 Nov,10054220
2014 Dec,10892979
2015 Jan,11572361
2015 Feb,9184162
2015 Mar,9693871
2015 Apr,9719441
2015 May,9612327
2015 Jun,9300958
2015 Jul,11154830
2015 Aug,9931419
2015 Sep,9658630
2015 Oct,9953736
2015 Nov,9420779
2015 Dec,10503083
2016 Jan,11145571
2016 Feb,8979077
2016 Mar,8971827
2016 Apr,8567692
2016 May,8740636
2016 Jun,8557506
2016 Jul,10144737
2016 Aug,9343997
2016 Sep,8945072
2016 Oct,9179184
2016 Nov,8984621
2016 Dec,9896340
2017 Jan,10705601
2017 Feb,8453717
2017 Mar,9354779
2017 Apr,8729489
2017 May,8938146
2017 Jun,8727131
2017 Jul,10523445
2017 Aug,9569355
2017 Sep,9498997
2017 Oct,9860543
2017 Nov,9496535
2017 Dec,10525181
2018 Jan,11251868
2018 Feb,9031930
2018 Mar,9644245
2018 Apr,9348880
2018 May,9376389
2018 Jun,9164642
2018 Jul,11255057
2018 Aug,10119377
2018 Sep,9798937
2018 Oct,10131435
2018 Nov,9992998
2018 Dec,10987607
2019 Jan,11583207
2019 Feb,9619268
2019 Mar,10045458
2019 Apr,9444653
2019 May,9204418
2019 Jun,9060229
2019 Jul,10954744
2019 Aug,10113495
2019 Sep,9908379
2019 Oct,10447562
2019 Nov,10109766
2019 Dec,11158998
2020 Jan,11811763
2020 Feb,9832456
2020 Mar,6353033
2020 Apr,454210
2020 May,612917
2020 Jun,989325
2020 Jul,1374139
2020 Aug,2393225
2020 Sep,3284259
2020 Oct,4437138
2020 Nov,4753002
2020 Dec,5746154
2021 Jan,6593783
2021 Feb,4622258
2021 Mar,3497393
2021 Apr,2881721
2021 May,3924448
2021 Jun,4567506
2021 Jul,6341680
2021 Aug,6064682
2021 Sep,6474624
2021 Oct,7155068
2021 Nov,7724356
2021 Dec,8904029
2022 Jan,8690009
2022 Feb,6623024
2022 Mar,7673001
2022 Apr,7462245
2022 May,7771795
2022 Jun,7468750
2022 Jul,9338764
2022 Aug,8924383
2022 Sep,8566211
2022 Oct,8902764
2022 Nov,9068338
2022 Dec,9565175
2023 Jan,10455238
2023 Feb,8390252
2023 Mar,9307314
2023 Apr,8760627
2023 May,9161363
2023 Jun,9061279
2023 Jul,10578402
2023 Aug,10286384
2023 Sep,9625577
2023 Oct,9865768
2023 Nov,9653992
2023 Dec,10210975
2024 Jan,10743095
2024 Feb,9028753
2024 Mar,9686078
2024 Apr,9277315
2024 May,9324306
2024 Jun,9517722
2024 Jul,11039513
2024 Aug,10399079
